Strike,Date,Year,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
B36,26/10/2008,2008,SWA,Mandata,32.482108,69.627729,Night,1,1,1,1,0,0,0,0,0,0,4,Unreported,Unreported,18,20,0,4,0,3,2,2
B37,31/10/2008,2008,NWA,Asori,32.974702,70.251646,Evening,0,2,0,1,0,0,0,0,0,1,4,2,2,4,25,1,20,0,0,0,0
B38,31/10/2008,2008,SWA,Dhook Pir Bagh,32.273128,69.552383,,1,1,1,1,0,0,0,0,0,0,3,2,2,4,12,1,1,0,0,2,30
B39,7/11/08,2008,NWA,Kumsham,32.699489,69.838715,Morning,1,1,1,1,0,0,0,0,0,0,4,4,5,11,16,6,11,0,0,17,17
B40,14/11/2008,2008,NWA,Garyom,32.716316,70.002737,Night,1,1,1,1,0,0,0,0,0,0,4,3,4,11,13,3,12,0,0,2,2
B41,19/11/2008,2008,Bannu,Jani Khel,32.79861,70.50639,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,3,6,0,3,0,0,7,7
B42,22/11/2008,2008,NWA,Ali Khel,32.9402704,70.292545,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,4,6,0,1,0,0,6,6
B43,27/11/2008,2008,SWA,Wana,32.306395,69.590492,,1,1,0,0,0,0,0,0,1,1,-,2,2,5,5,0,0,0,0,0,0
B44,29/11/2008,2008,NWA,Chashma,32.97573705,70.0818193,Morning,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,2,3,0,3,0,0,2,3
B45,5/12/08,2008,NWA,Kateera,32.931831,70.304504,Afternoon or evening or night,1,1,1,1,0,0,0,0,0,0,-,2,2,3,4,0,0,0,0,2,2
B46,11/12/08,2008,SWA,Azam Warsak,32.289444,69.425556,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,6,7,0,7,0,0,0,0
B47,15/12/2008,2008,NWA,Tapi Tool,33.100098,70.041575,,1,1,1,1,0,0,0,0,0,0,4,Unreported,Unreported,2,3,0,3,0,0,3,3
B48,22/12/2008,2008,SWA,Ghwa Khwa,32.061901,69.634949,Morning,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,3,3,0,0,0,0,5,5
B49,22/12/2008,2008,SWA,Azam Warsak,32.289444,69.425556,Morning,1,1,0,0,0,0,0,0,1,1,4,Unreported,Unreported,2,4,0,0,0,0,4,4
B50,1/1/09,2009,SWA,Kari Kot,32.326451,69.477754,,0,2,0,1,0,0,0,0,0,1,3,2,3,3,5,0,0,0,0,1,2
B51,2/1/09,2009,SWA,Madin Village,32.565354,69.830362,,1,2,0,0,0,0,1,1,0,1,4,2,2,3,4,0,0,0,0,3,5
Ob1,23/01/2009,2009,NWA,Zeraki,32.968491,70.233437,Afternoon,1,2,1,2,0,0,0,0,0,0,4,1,3,7,15,9,11,1,1,1,1
Ob2,23/01/2009,2009,SWA,Ganki Khel,32.288221,69.524789,Evening,1,1,1,1,0,0,0,0,0,0,3,2,2,5,10,5,10,3,4,2,2
Ob3,14/02/2009,2009,SWA,Narsi Khel,33.030398,70.247011,Morning,1,3,1,1,0,1,0,0,0,1,4,Unreported,Unreported,25,35,1,9,1,1,11,15
Ob4,16/02/2009,2009,Kurram,Baggan,33.499177,70.380006,Morning,1,1,1,1,0,0,0,0,0,0,4,2,4,18,31,0,0,0,0,3,7
Ob5,1/3/09,2009,SWA,Sararogha,32.515823,70.02368,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,3,12,0,0,0,0,1,3
Ob6,12/3/09,2009,Kurram,Barjo,33.756315,70.554146,Evening,1,4,1,4,0,0,0,0,0,0,4,2,5,14,26,0,0,0,0,9,50
Ob7,15/03/2009,2009,Bannu,Jani Khel,32.79861,70.50639,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,2,6,0,0,0,0,3,3
Ob8,25/03/2009,2009,SWA,Makeen,32.621,69.839367,Afternoon,0,3,0,1,0,0,0,0,0,2,2,2,2,6,8,0,0,0,0,5,5
