Strike,Date,Year,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob102,15/07/2010,2010,NWA,Sheerani,32.884272,69.654522,Evening,1,1,1,1,0,0,0,0,0,0,4,2,3,9,14,0,7,0,0,3,3
Ob103,24/07/2010,2010,SWA,Dwasarak,32.051226,69.42406,,1,1,1,1,0,0,0,0,0,0,4,4,5,16,18,0,0,0,0,24,24
Ob104,25/07/2010,2010,SWA,Shaktoi,32.6903,70.0069,Morning,1,2,1,1,0,0,0,0,0,1,3,2,4,14,32,0,0,0,0,7,12
Ob105,25/07/2010,2010,NWA,Tapi Tool,33.100098,70.041575,Evening,1,1,1,1,0,0,0,0,0,0,-,2,2,4,12,0,0,0,0,2,4
Ob106,25/07/2010,2010,SWA,Sararogha,32.515823,70.02368,Evening,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,4,4,0,0,0,0,5,5
Ob107,14/08/2010,2010,NWA,Asori,32.974702,70.251646,Evening,1,2,1,2,0,0,0,0,0,0,-,2,2,13,14,7,7,1,1,5,6
Ob108,21/08/2010,2010,NWA,Qutab Khel,32.968833,70.059299,Evening,0,3,0,1,0,0,0,0,0,2,-,4,4,4,6,0,4,0,0,2,2
Ob109,23/08/2010,2010,NWA,Danda Darpakhel,33.037625,70.051998,Evening,1,5,1,5,0,0,0,0,0,0,4,3,3,20,20,7,9,3,3,15,15
Ob110,23/08/2010,2010,NWA,Darga Mandi,33.040435,70.047863,Evening,1,1,1,1,0,0,0,0,0,0,-,3,3,5,7,0,0,0,0,3,12
Ob111,27/08/2010,2010,Kurram,Shahidano,33.70035,70.341125,Evening,2,2,0,0,0,0,0,0,2,2,-,4,4,3,9,0,0,0,0,2,2
Ob112,27/08/2010,2010,Kurram,Badshah Kot,33.473612,70.38878,Night,1,1,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0
Ob113,27/08/2010,2010,Kurram,Taaloo Ganj,33.499177,70.380006,Night,2,2,1,1,1,1,0,0,0,0,2,Unreported,Unreported,2,3,0,3,0,0,0,0
Ob114,3/9/10,2010,NWA,Machis,33.00053,70.065479,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,6,9,0,0,0,0,2,3
Ob115,3/9/10,2010,NWA,Khadar Khel,32.97355,69.62063,Evening,0,1,0,1,0,0,0,0,0,0,4,3,4,2,4,0,0,0,0,2,2
Ob116,4/9/10,2010,NWA,Maizer,32.906109,69.748807,Evening,1,3,1,1,0,0,0,0,0,2,-,Unreported,Unreported,7,8,0,0,0,0,12,12
Ob117,6/9/10,2010,NWA,Khar Qamar,32.905569,69.74885,Afternoon,0,1,0,0,0,0,0,0,0,1,-,2,2,3,6,0,0,0,0,1,1
Ob118,8/9/10,2010,NWA,Danda Darpakhel,33.037625,70.051998,Morning,1,2,1,2,0,0,0,0,0,0,4,2,2,5,10,4,4,4,4,2,2
Ob119,8/9/10,2010,NWA,Deegan,32.960354,69.867332,,1,1,0,0,0,0,0,0,1,1,-,2,2,3,4,0,4,0,0,1,2
Ob120,8/9/10,2010,NWA,Danda Darpakhel,33.037625,70.051998,Evening,1,1,1,1,0,0,0,0,0,0,-,2,3,10,10,0,0,0,0,2,5
Ob121,9/9/10,2010,NWA,Machis,33.00053,70.065479,Night,1,1,1,1,0,0,0,0,0,0,-,2,3,3,6,0,0,0,0,3,5
Ob122,12/9/10,2010,NWA,Newey Adda,32.905893,69.749022,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,5,7,0,0,0,0,2,3
Ob123,14/09/2010,2010,NWA,Bushnarai,32.583271,69.455566,Morning,1,1,1,1,0,0,0,0,0,0,-,3,6,11,12,0,0,0,0,4,4
Ob124,14/09/2010,2010,NWA,Qutab Khel,32.968833,70.059299,Evening,1,1,0,0,0,0,0,0,1,1,-,2,2,1,4,0,0,0,0,4,4
Ob125,15/09/2010,2010,NWA,Darga Mandi,33.040435,70.047863,Night,1,2,1,2,0,0,0,0,0,0,4,8,12,11,15,5,5,0,0,1,5
Ob126,15/09/2010,2010,NWA,Pai Khel,32.971084,69.839566,Evening,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,4,7,0,0,0,0,3,3
Ob127,19/09/2010,2010,NWA,Deegan,32.960354,69.867332,Evening,1,1,0,0,0,0,0,0,1,1,-,2,3,3,9,5,5,0,0,0,0
Ob128,20/09/2010,2010,NWA,Darazinda,33.149661,70.433515,Afternoon,1,0,0,0,0,0,0,0,1,0,-,3,4,3,6,0,3,0,0,0,0
Ob129,21/09/2010,2010,SWA,Khand Morsak,32.337765,70.117493,Evening,1,1,0,0,0,0,0,0,1,1,-,2,2,7,8,0,0,0,0,4,5
Ob130,21/09/2010,2010,SWA,Azam Warsak,32.289444,69.425556,Evening,1,1,1,1,0,0,0,0,0,0,-,3,5,0,16,0,0,0,0,0,0
Ob131,25/09/2010,2010,NWA,Datta Khel,32.909136,69.76078,Afternoon,1,1,0,0,0,0,0,0,1,1,-,3,2,2,4,0,0,0,0,0,0
Ob132,26/09/2010,2010,NWA,Lawra Mandi,32.97922,69.496036,,0,2,0,1,0,0,0,0,0,1,-,5,5,4,5,0,0,0,0,2,2
Ob133,26/09/2010,2010,NWA,Datta Khel,32.909136,69.76078,Evening,0,2,0,1,0,0,0,0,0,1,-,2,3,3,5,0,0,0,0,1,2
Ob134,26/09/2010,2010,NWA,Sheerani,32.884272,69.654522,,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,2,3,0,0,0,0,0,0
Ob135,27/09/2010,2010,NWA,Khushali,32.938927,70.247355,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,3,3,4,0,0,0,0,0,0
Ob136,28/09/2010,2010,SWA,Zeba Pahar,32.454301,69.322615,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,4,4,0,0,0,0,2,2
Ob137,2/10/10,2010,NWA,Inzarkas,32.97355,69.62063,Morning,1,1,1,1,0,0,0,0,0,0,4,2,4,8,10,0,0,0,0,2,4
Ob138,2/10/10,2010,NWA,Inzarkas,32.97355,69.62063,Afternoon,2,2,1,1,0,0,0,0,1,1,-,4,4,7,14,0,0,0,0,2,2
Ob139,4/10/10,2010,NWA,Mir Ali,32.969788,70.276966,Evening,1,2,1,1,0,1,0,0,0,0,3,2,2,5,9,0,3,0,0,2,2
Ob140,6/10/10,2010,NWA,Miram Shah,33.00053,70.065479,Afternoon,1,2,1,1,0,0,0,0,0,1,3,2,2,5,11,0,0,0,0,4,4
Ob141,6/10/10,2010,NWA,Hurmuz,32.97175,70.269263,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,3,5,0,0,0,0,3,3
Ob142,7/10/10,2010,NWA,Khaisoori,32.876181,70.241282,Afternoon,1,2,0,1,0,0,0,0,1,1,-,2,2,4,4,0,0,0,0,2,2
Ob143,8/10/10,2010,NWA,Char Khel,32.952216,69.874321,Evening,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,4,6,0,0,0,0,0,0
Ob144,8/10/10,2010,NWA,Char Khel,32.952216,69.874321,Night,1,2,1,1,0,0,0,0,0,1,3,2,3,5,8,0,4,0,0,0,0
Ob145,10/10/10,2010,NWA,Spinwan,33.173695,70.401978,Morning,1,3,0,1,0,0,0,0,1,2,3,2,4,4,9,0,0,0,0,3,3
Ob146,13/10/2010,2010,NWA,Inzarkas,32.97355,69.62063,Evening,2,3,1,1,0,0,0,0,1,2,-,2,3,6,14,3,6,0,0,0,0
Ob147,15/10/2010,2010,NWA,Aziz Khel,33.084063,70.206671,Night,1,1,1,1,0,0,0,0,0,0,-,1,4,4,6,0,0,0,0,3,3
Ob148,15/10/2010,2010,NWA,Machi Khel,33.030398,70.247011,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,2,3,5,0,0,0,0,0,0
Ob149,18/10/2010,2010,NWA,Sanzali,32.963091,69.593711,Evening or night,1,3,1,2,0,0,0,0,0,1,-,6,6,6,7,1,1,1,1,1,6
Ob150,27/10/2010,2010,NWA,Spinwan,33.173695,70.401978,Night,1,1,1,1,0,0,0,0,0,0,4,1,2,2,5,0,0,0,0,1,1
Ob151,27/10/2010,2010,NWA,Deegan,32.960354,69.867332,Afternoon,1,0,0,0,0,0,0,0,1,0,-,2,2,2,4,0,0,0,0,1,1
Ob152,28/10/2010,2010,NWA,Ismail Khel,32.967555,69.692245,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,4,8,0,4,0,0,0,0
Ob153,1/11/10,2010,NWA,Haider Khel,32.945661,70.317135,Morning,2,2,2,2,0,0,0,0,0,0,-,2,5,5,6,0,0,0,0,2,2
Ob154,3/11/10,2010,NWA,Qutab Khel,32.968833,70.059299,Afternoon,1,3,0,1,0,0,0,0,1,2,2,2,4,4,5,0,0,0,0,0,0
Ob155,3/11/10,2010,NWA,Khaso Khel,32.953548,70.26701,Evening,1,2,0,1,0,0,0,0,1,1,-,2,3,4,5,0,0,0,0,0,0
Ob156,3/11/10,2010,NWA,Pai Khel,32.971084,69.839566,Evening,1,1,0,0,0,0,0,0,1,1,-,2,4,4,5,0,0,0,0,0,0
Ob157,7/11/10,2010,NWA,Ghulam Khan,33.133778,70.034065,Evening,1,1,0,0,0,0,0,0,1,1,2,2,5,8,9,0,0,0,0,2,2
Ob158,7/11/10,2010,NWA,Maizer,32.906109,69.748807,Evening,1,1,0,0,0,0,0,0,1,1,-,2,2,3,6,0,0,0,0,1,4
Ob159,11/11/10,2010,NWA,Ghulam Khan,33.133778,70.034065,Afternoon,1,1,1,1,0,0,0,0,0,0,-,6,7,5,8,0,0,0,0,5,6
Ob160,13/11/2010,2010,NWA,Ahmad Khel,32.982964,69.985099,Afternoon,1,2,0,1,0,0,0,0,1,1,-,2,2,4,4,0,4,0,0,1,1
Ob161,16/11/2010,2010,NWA,Ghulam Khan,33.133778,70.034065,,2,2,1,1,0,0,0,0,1,1,4,4,6,20,20,0,9,0,0,0,0
Ob162,19/11/2010,2010,NWA,Norak,32.980948,70.171738,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,4,2,4,0,0,0,0,1,1
Ob163,21/11/2010,2010,NWA,Khaddi,32.973028,70.214138,Afternoon,2,2,1,1,0,0,0,0,1,1,-,2,4,5,9,0,3,0,0,0,0
Ob164,22/11/2010,2010,NWA,Khaisoori,32.876181,70.241282,Evening,1,2,0,0,0,0,0,0,1,2,-,2,2,3,6,0,0,0,0,2,3
Ob165,26/11/2010,2010,NWA,Pir Keley,33.074677,70.144304,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,2,2,4,1,4,1,1,0,0
Ob166,28/11/2010,2010,NWA,Spinwan,33.173695,70.401978,Afternoon,1,1,0,0,0,0,0,0,1,1,-,1,2,0,4,0,0,0,0,0,0
Ob167,6/12/10,2010,NWA,Khushali,32.938927,70.247355,Evening,1,3,0,1,0,0,0,1,1,1,-,2,4,3,5,0,2,0,0,3,3
Ob168,6/12/10,2010,NWA,Ali Khel,32.9402704,70.292545,Evening,1,1,1,1,0,0,0,0,0,0,-,4,4,2,4,0,0,0,0,0,0
Ob169,10/12/10,2010,NWA,Khadar Khel,32.97355,69.62063,Afternoon,1,2,0,1,0,0,0,0,1,1,-,2,4,4,4,0,0,0,0,2,2
Ob170,14/12/2010,2010,NWA,Tabbi,32.947066,70.148732,,1,1,0,0,0,0,0,0,1,1,-,2,2,3,4,0,4,0,0,0,0
Ob171,16/12/2010,2010,Khyber,Speen Drang,33.806538,70.72998,Afternoon,1,3,0,2,0,0,0,0,1,1,2,Unreported,Unreported,7,7,0,0,0,0,0,0
Ob172,17/12/2010,2010,Khyber,Tirah Valley,33.806538,70.72998,Morning,2,3,0,1,0,0,0,0,2,2,-,Unreported,Unreported,7,15,0,0,0,0,7,11
Ob173,17/12/2010,2010,Khyber,Tirah Valley,33.806538,70.72998,Afternoon,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,11,15,0,0,0,0,2,2
Ob174,17/12/2010,2010,Khyber,Speen Drang,33.806538,70.72998,Morning,1,1,1,1,0,0,0,0,0,0,4,Unreported,Unreported,32,32,2,2,0,0,0,0
Ob175,27/12/2010,2010,NWA,Shera Tala,33.172833,70.40082,Morning,2,3,0,0,0,0,0,0,2,3,-,6,8,18,22,0,0,0,0,0,0
Ob176,27/12/2010,2010,NWA,Machi Khel,33.030398,70.247011,,1,1,0,0,0,0,0,0,1,1,-,2,4,4,4,0,0,0,0,0,0
Ob177,28/12/2010,2010,NWA,Ghulam Khan,33.133778,70.034065,Morning,1,2,1,2,0,0,0,0,0,0,4,2,4,5,7,0,0,0,0,2,2
Ob178,28/12/2010,2010,NWA,Ghulam Khan,33.133778,70.034065,Afternoon,2,2,2,2,0,0,0,0,0,0,4,2,2,5,12,2,4,0,0,3,3
Ob179,28/12/2010,2010,NWA,Ghulam Khan,33.133778,70.034065,Afternoon,3,3,0,0,0,0,0,0,3,3,-,6,6,9,10,0,0,0,0,6,6
Ob180,31/12/2010,2010,NWA,Ghulam Khan,33.133778,70.034065,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,2,4,8,0,0,0,0,0,0
Ob181,1/1/11,2011,NWA,Mandi Khel,33.045112,70.32913,Morning,2,2,1,1,0,0,0,0,1,1,4,4,4,8,10,0,0,0,0,0,0
Ob182,1/1/11,2011,NWA,Mandi Khel,33.045112,70.32913,Morning,1,1,1,1,0,0,0,0,0,0,-,2,2,4,6,0,0,0,0,0,0
Ob183,1/1/11,2011,NWA,Mohammad Khel,32.957221,69.885192,Afternoon,0,2,0,1,0,0,0,0,0,1,-,2,2,4,5,0,0,0,0,0,0
Ob184,1/1/11,2011,NWA,Datta Khel,32.909136,69.76078,,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,4,4,0,0,0,0,4,4
Ob185,7/1/11,2011,NWA,Ghar Laley,32.905569,69.748764,Afternoon,0,3,0,1,0,0,0,0,0,2,-,2,4,1,6,0,0,0,0,0,0
Ob186,12/1/11,2011,NWA,Haider Khel,32.945661,70.317135,Morning,1,1,1,1,0,0,0,0,0,0,3,2,2,3,6,0,0,0,0,2,15
Ob187,18/01/2011,2011,NWA,Dashgah,32.905515,69.74885,Evening,1,1,1,1,0,0,0,0,0,0,-,2,3,3,7,0,0,0,0,3,3
Ob188,23/01/2011,2011,NWA,Doga Mada Khel,32.909136,69.76078,Morning,2,2,1,1,0,0,0,0,1,1,3,2,2,2,5,0,0,0,0,0,0
Ob189,23/01/2011,2011,NWA,Khar Qamar,32.905569,69.74885,Afternoon,1,0,0,0,0,0,0,0,1,0,-,1,2,2,3,0,0,0,0,0,0
Ob190,23/01/2011,2011,NWA,Razmak,32.699489,69.838715,Morning,2,2,1,1,0,0,0,0,1,1,-,2,4,4,6,0,0,0,0,3,3
Ob191,20/02/2011,2011,SWA,Azam Warsak,32.289444,69.425556,Night,1,1,1,1,0,0,0,0,0,0,-,2,4,6,8,0,0,0,0,2,2
Ob192,21/02/2011,2011,NWA,Tabbi,32.947066,70.148732,Morning or evening,1,1,1,1,0,0,0,0,0,0,-,4,4,7,14,0,11,0,0,10,10
Ob193,24/02/2011,2011,NWA,Mohammad Khel,32.957221,69.885192,Evening,2,2,1,1,0,0,0,0,1,1,-,2,6,4,7,0,0,0,0,3,2
Ob194,8/3/11,2011,SWA,Landidog,32.28891,69.415827,Afternoon,1,2,1,2,0,0,0,0,0,0,3,2,5,2,5,0,5,0,0,2,2
Ob195,9/3/11,2011,NWA,Ismail Khel,32.967555,69.692245,,1,1,1,1,0,0,0,0,0,0,-,2,2,5,5,0,0,0,0,2,3
Ob196,11/3/11,2011,NWA,Khaisoori,32.876181,70.241282,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,10,4,12,5,5,0,0,0,0
Ob197,11/3/11,2011,NWA,Ghoroski,33.173587,70.401464,,1,1,0,0,0,0,0,0,1,1,-,4,4,4,4,0,0,0,0,0,0
Ob198,13/03/2011,2011,SWA,Azam Warsak,32.289444,69.425556,Morning,0,1,0,0,0,0,0,0,0,1,-,2,6,0,4,0,0,0,0,0,5
Ob199,13/03/2011,2011,NWA,Spalaga,32.923582,70.126977,Morning or evening,2,2,1,1,0,0,0,0,1,1,-,6,6,4,7,0,0,0,0,5,5
Ob200,14/03/2011,2011,NWA,Isha Check Point,32.966934,70.111426,Morning,1,1,0,0,0,0,0,0,1,1,-,2,6,3,6,0,0,0,0,0,0
Ob201,16/03/2011,2011,NWA,Ambar Shaga,32.908451,69.760566,Morning,0,2,0,1,0,0,0,0,0,1,-,3,3,3,5,0,0,0,0,0,0
Ob202,17/03/2011,2011,NWA,Datta Khel,32.909136,69.76078,Morning,1,2,0,0,0,0,1,1,0,1,4,3,10,26,42,19,41,0,1,9,14
Ob203,13/04/2011,2011,SWA,Baghar Cheena,32.486506,69.316877,Afternoon,1,3,0,1,0,0,0,0,1,2,-,2,7,4,7,0,7,0,0,6,10
Ob204,22/04/2011,2011,NWA,Spinwan,33.173695,70.401978,Night,2,2,2,2,0,0,0,0,0,0,4,4,10,20,26,5,9,3,5,5,10
Ob205,6/5/11,2011,NWA,Dwa Tooe,32.87173,69.554229,Afternoon,2,4,0,1,0,1,1,1,1,1,2,2,8,7,18,6,6,0,0,4,4
Ob206,10/5/11,2011,SWA,Baghar Cheena,32.486506,69.316877,Afternoon,1,1,0,1,0,0,0,0,1,0,-,2,4,3,5,0,0,0,0,4,4
Ob207,12/5/11,2011,NWA,Sanzali,32.963091,69.593711,,1,1,0,0,0,0,0,0,1,1,-,2,4,5,8,0,0,0,0,1,1
Ob208,13/05/2011,2011,NWA,Doga Mada Khel,32.909136,69.76078,,1,1,0,0,0,0,0,0,1,1,-,2,4,3,5,0,0,0,0,0,0
Ob209,16/05/2011,2011,NWA,Aimarki,32.971444,70.278168,,1,2,1,1,0,1,0,0,0,0,4,2,2,4,10,0,0,0,0,2,4
Ob210,16/05/2011,2011,NWA,Sandasa Village,32.913063,70.256968,,1,1,0,0,0,0,0,0,1,1,-,2,2,3,6,0,0,0,0,0,0
Ob211,20/05/2011,2011,NWA,Isha Check Point,32.966934,70.111426,Evening,0,2,0,1,0,0,0,0,0,1,4,2,2,4,6,0,0,0,0,0,0
Ob212,23/05/2011,2011,NWA,Machi Khel,33.030398,70.247011,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,4,4,7,0,0,0,0,2,2
Ob213,3/6/11,2011,SWA,Kari Kot,32.326451,69.477754,,0,1,0,1,0,0,0,0,0,0,-,2,2,5,12,0,0,0,0,1,3
Ob214,6/6/11,2011,SWA,Shalam Raghzai,32.822732,70.113201,Night,1,1,1,1,0,0,0,0,0,0,4,2,3,7,9,0,0,0,0,2,2
Ob215,6/6/11,2011,SWA,Wacha Dana,32.285137,69.456596,Night or morning,0,2,0,1,0,1,0,0,0,0,4,2,2,8,10,0,7,0,0,3,3
Ob216,6/6/11,2011,SWA,Darnashtra,32.540735,69.436512,Morning,1,1,0,0,0,0,0,0,1,1,-,1,2,3,5,0,0,0,0,0,0
Ob217,8/6/11,2011,NWA,Zoynari,32.61581,69.489212,Morning,1,1,1,1,0,0,0,0,0,0,4,2,5,18,23,0,0,0,0,6,6
Ob218,8/6/11,2011,NWA/SWA,Zoynari,32.61581,69.489212,Afternoon,1,1,0,0,0,0,0,0,1,1,4,2,2,4,4,0,0,0,0,0,0
Ob219,15/06/2011,2011,SWA,Wana,32.306395,69.590492,Afternoon,1,2,1,1,0,0,0,0,0,1,-,2,2,2,10,0,0,0,0,2,2
Ob220,15/06/2011,2011,SWA,Karez,32.250954,69.491395,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,2,0,0,0,0,0,0,0,0
Ob221,15/06/2011,2011,NWA,Isha Check Point,32.966934,70.111426,Evening,1,1,0,0,0,0,0,0,1,1,-,2,6,5,6,5,6,0,0,0,0
Ob222,20/06/2011,2011,Kurram,Khardand,33.723197,70.338593,Morning,1,1,0,0,0,0,0,0,1,1,-,2,3,5,7,2,7,0,0,0,3
Ob223,20/06/2011,2011,Kurram,Zeraki,32.968491,70.233437,Morning,1,1,1,1,0,0,0,0,0,0,-,2,2,2,5,0,0,0,0,0,0
Ob224,27/06/2011,2011,NWA,Shawal NWA,32.61581,69.489212,Afternoon or evening,1,2,0,0,0,0,0,0,1,2,-,2,4,6,12,0,0,0,0,0,0
Ob225,27/06/2011,2011,SWA,Mantoi,32.56583,69.600234,Afternoon or evening,1,1,1,1,0,0,0,0,0,0,-,2,4,12,21,0,20,0,0,2,2
Ob226,5/7/11,2011,NWA,Hurmuz,32.97175,70.269263,Night,0,2,0,2,0,0,0,0,0,0,4,2,4,4,6,0,3,0,2,5,5
Ob227,11/7/11,2011,NWA,Gurwak,32.849812,69.465265,Evening,2,2,1,1,0,0,0,0,1,1,4,4,4,5,12,0,0,0,0,2,2
Ob228,12/7/11,2011,NWA,Datta Khel,32.909136,69.76078,Night,1,1,1,1,0,0,0,0,0,0,-,10,10,12,25,0,0,0,0,0,0
Ob229,12/7/11,2011,SWA,Barmal,32.464042,69.32622,,1,1,1,1,0,0,0,0,0,0,-,2,7,5,13,0,0,0,0,3,5
Ob230,12/7/11,2011,SWA,Darnashtra,32.540735,69.436512,Morning,1,3,1,1,0,0,0,0,0,2,4,Unreported,Unreported,13,15,0,4,0,0,0,0
Ob231,12/7/11,2011,NWA,Newey Adda,32.905893,69.749022,Evening,1,2,0,1,0,0,0,0,1,1,-,2,4,1,9,1,1,0,0,3,5
Ob232,20/07/2011,2011,NWA,Khushali,32.938927,70.247355,,1,1,1,1,0,0,0,0,0,0,4,2,2,4,4,0,0,0,0,2,2
Ob233,1/8/11,2011,SWA,Nargassai,32.312026,69.354447,Afternoon,1,3,0,2,0,0,0,0,1,1,2,2,2,3,6,0,6,0,0,2,7
Ob234,2/8/11,2011,NWA,Qutab Khel,32.968833,70.059299,Evening,1,1,0,0,0,0,0,0,1,1,-,4,4,3,4,0,0,0,0,0,0
Ob235,10/8/11,2011,NWA,Miram Shah,33.00053,70.065479,Night,2,2,1,1,0,0,0,0,1,1,4,2,2,8,25,0,0,0,0,3,8
Ob236,16/08/2011,2011,NWA,Miram Shah,33.00053,70.065479,Night,1,2,1,1,0,0,0,0,0,1,1,2,2,2,7,3,4,1,1,2,2
Ob237,19/08/2011,2011,SWA,Shin Warsak,32.259265,69.514618,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,3,4,0,0,0,0,2,2
Ob238,22/08/2011,2011,NWA,Norak,32.980948,70.171738,Evening,1,2,0,1,0,0,0,0,1,1,4,2,2,3,7,0,4,0,0,3,3
Ob239,11/9/11,2011,NWA,Khaso Khel,32.953548,70.26701,Evening,0,2,0,1,0,0,0,0,0,1,4,2,2,1,5,0,0,0,0,1,3
Ob240,23/09/2011,2011,NWA,Khushali,32.938927,70.247355,Evening,1,2,1,1,0,0,0,0,0,1,4,2,5,3,8,0,0,0,0,3,4
Ob241,27/09/2011,2011,SWA,Azam Warsak,32.289444,69.425556,Evening,1,2,1,1,0,0,0,0,0,1,-,2,2,0,4,0,0,0,0,0,2
Ob242,30/09/2011,2011,SWA,Baghar Cheena,32.486506,69.316877,Afternoon,1,2,0,1,0,0,0,0,1,1,-,2,6,3,4,0,0,0,0,1,5
Ob243,13/10/2011,2011,NWA,Danda Darpakhel,33.037625,70.051998,Morning,0,3,0,1,0,1,0,0,0,1,-,2,2,1,6,0,0,0,0,4,4
Ob244,13/10/2011,2011,SWA,Barmal,32.464042,69.32622,Afternoon,1,2,1,1,0,0,0,0,0,1,-,3,3,3,6,0,0,0,0,3,3
Ob245,14/10/2011,2011,NWA,Darpa Khel,32.987644,70.050845,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,2,3,6,0,0,0,0,0,0
Ob246,15/10/2011,2011,SWA,Baghar Cheena,32.486506,69.316877,Night,1,1,1,1,0,0,0,0,0,0,4,4,9,3,6,0,0,0,0,3,7
Ob247,26/10/2011,2011,SWA,Bobar,32.654019,70.190889,Evening,1,1,1,1,0,0,0,0,0,0,-,2,2,13,22,0,0,0,0,6,6
Ob248,27/10/2011,2011,SWA,Azam Warsak,32.289444,69.425556,Morning,1,1,0,0,0,0,0,0,1,1,-,2,6,4,6,0,0,0,0,3,4
Ob249,27/10/2011,2011,NWA,Hisokhel,32.954322,70.266516,Evening,1,3,1,1,0,0,0,0,0,2,-,4,4,4,6,0,0,0,0,3,3
Ob250,30/10/2011,2011,NWA,Khar Qamar,32.905569,69.74885,Morning,1,3,0,1,0,0,0,0,1,2,2,2,6,4,6,4,4,0,0,2,3
Ob251,31/10/2011,2011,NWA,Norak,32.980948,70.171738,Evening,1,2,0,1,0,0,0,0,1,1,4,2,2,2,4,2,2,2,2,3,3
Ob252,3/11/11,2011,NWA,Miram Shah,33.00053,70.065479,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,2,3,0,0,0,0,3,3
Ob253,15/11/2011,2011,NWA,Miram Shah,33.00053,70.065479,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,3,7,0,0,0,0,2,4
Ob254,16/11/2011,2011,NWA,Babar Ghar,32.654768,70.190835,Night,1,2,1,2,0,0,0,0,0,0,4,4,14,4,22,0,0,0,0,6,12
Ob255,17/11/2011,2011,NWA,Shawal NWA,32.61581,69.489212,Afternoon,1,1,1,1,0,0,0,0,0,0,4,4,6,7,9,0,0,0,0,3,5
Ob256,10/1/12,2012,NWA,Miram Shah,33.00053,70.065479,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,1,4,0,0,0,0,2,2
Ob257,12/1/12,2012,NWA,Doga Mada Khel,32.909136,69.76078,Evening,2,2,0,0,0,0,0,0,2,2,-,2,4,5,9,0,0,0,0,2,3
Ob258,23/01/2012,2012,NWA,Deegan,32.960354,69.867332,Morning,1,1,0,0,0,0,0,0,1,1,-,2,2,2,5,0,0,0,0,1,3
Ob259,23/01/2012,2012,NWA,Datta Khel,32.909136,69.76078,Morning,1,1,1,1,0,0,0,0,0,0,-,2,2,0,2,0,0,0,0,0,0
Ob260,8/2/12,2012,NWA,Tappi,32.94694,70.147083,Morning,1,1,1,1,0,0,0,0,0,0,4,2,2,9,10,0,0,0,0,2,12
Ob261,9/2/12,2012,NWA,Miram Shah,33.00053,70.065479,Night,0,2,0,2,0,0,0,0,0,0,-,2,2,3,8,0,3,0,1,3,3
Ob262,16/02/2012,2012,NWA,Spalaga,32.923582,70.126977,Morning,1,1,1,1,0,0,0,0,0,0,4,2,2,5,6,0,0,0,0,4,7
Ob263,16/02/2012,2012,NWA,Khaisoori,32.876181,70.241282,Afternoon,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,8,15,0,0,0,0,3,3
Ob264,9/3/12,2012,SWA,Shaktoi,32.6903,70.0069,Afternoon,1,2,0,1,0,0,0,0,1,1,-,2,3,4,15,0,0,0,0,0,3
Ob265,9/3/12,2012,SWA,Sararogha,32.515823,70.02368,Afternoon,1,1,1,1,0,0,0,0,0,0,-,2,3,6,6,0,0,0,0,0,0
Ob266,13/03/2012,2012,SWA,Darnashtra,32.540735,69.436512,Morning,1,1,0,0,0,0,0,0,1,1,-,2,4,6,8,0,0,0,0,2,4
Ob267,13/03/2012,2012,SWA,Shawal SWA,32.61581,69.489212,Morning,1,2,0,1,0,0,0,0,1,1,-,2,2,6,7,0,0,0,0,3,3
